,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
164,108.06000000000002,202.00000000000003,12.2,1.03,2.093,0.11,1.54,1.96,1.59,17.010473954169147,0.7032887787296502,0.46650025029338493,0.803345923520659,18.5,6.5,13.7,105.0
165,120.09,165.00000000000003,-44.99999999999999,0.86,3.817258313101104,2.48,1.49541,3.42,1.2299878834097573,3.4,0.13955817355428413,0.317777359414846,0.4371322350957733,18.0,0.0,0.6,139.8
166,98.07000000000001,130.00000000000003,-41.5,0.86,60.00000000000001,8.21,1.4445,1.7000000000000002,3.056840131087238,15.4,0.10979825093577028,0.46245994439105437,0.7149369902670873,16.4,7.2,6.1,115.59999999999998
167,74.0,57.399999999999984,-98.0,0.928,0.364,21.602,1.3614,0.18000000000000008,1.6800000000000002,6.7,0.0,0.42,0.6,15.499999999999998,7.2,7.6,79.70000000000002
168,296.27,217.0,-19.900000000000006,0.8739,2.62,27.145746646099667,1.4522,7.45,1.5316392391822953,14.744304179059366,0.3309296204223993,0.43063699478354023,0.3830602460159044,14.5,3.9,3.7,340.0
169,87.07000000000001,129.0,-5.00000000000001,1.0,2.23,10.1,1.454,-0.86,2.2199872778698424,19.871370334129104,0.29,0.7000000000000001,0.38999999999999996,18.8,4.9,9.2,87.1
170,128.06,218.0,80.0,1.15,0.754,0.085,1.4003,3.3500000000000005,0.9675372573298971,4.266937031334907,0.0831680431543189,0.20443006841652686,0.506525087748872,19.2,2.0,5.9,111.5
171,75.03,114.0,-90.0,1.05,-1.0700530354140914,20.8,1.3917,0.2,3.65,27.999999999999996,-0.061708492728820855,0.352631675256422,0.865123471774341,16.0,15.5,4.5,71.5
172,89.05,132.0,-107.99999999999999,1.0,0.79,10.1,1.4018,0.8699999999999999,3.731297020542918,27.46886915376811,-0.09048388257023203,0.5397127203182813,0.8968678520014064,16.6,12.3,5.5,89.5
173,99.07000000000001,202.00000000000003,-24.4,1.03,1.65,0.345,1.469,-0.3800000000000001,4.113448415633686,32.3,-0.0695790942865422,0.7015812152383302,0.9608404970115495,18.0,12.3,7.2,96.5
174,60.07,64.00000000000001,-58.00000000000001,0.79,2.4548127851118497,167.0,1.40753,-1.19,1.7345921675326135,21.44194981817362,0.7363249993901658,0.6321716102680369,0.5587930544707335,15.299999999999999,5.9,11.0,76.0
175,144.12,239.0,16.500000000000018,0.9099999999999999,5.74,0.0037099999999999998,1.426,3.05,1.149156001816,6.565759433138839,0.5448566435790025,0.42423035655747193,0.3133221989121927,15.1,3.2999999999999994,8.2,159.0
176,282.26,360.0,13.400000000000007,0.895,25.6,5.46e-07,1.46,7.73,1.44,9.598193018896755,0.3221190117772602,0.4521803166990433,0.306844729772313,14.3,3.1,5.5,320.0
177,268.28,207.0,6.499999999999997,0.848,7.531736274958385,-30.982078401769158,1.458,1.7754200268450904,1.1791509048366113,7.136514154103132,0.22726043878437951,0.4423733554811497,0.19421508038271093,14.3,2.7,8.0,316.0
178,106.08,144.00000000000003,-25.000000000000004,0.88,6.8182461649856,33.57539455111861,1.483805171190664,3.1200000000000006,0.63,11.974074656002953,0.23383694961103318,0.43063699478354023,0.495271921331704,17.8,1.0,3.1,121.20000000000002
179,130.1,149.0,-71.0,0.88,1.58,3.5,1.4023,2.1800000000000006,1.3339369741280818,5.000000000000001,0.1912554532903118,0.3078869704303402,0.26304723363751625,15.8,3.2999999999999994,6.1,148.0
180,94.04,182.00000000000003,40.999999999999986,1.06,3.437,45.96638822422738,1.5408,1.46,1.4500000000000002,13.2594390139794,1.65,0.3,0.7200000000000001,18.0,5.9,14.9,87.5
181,55.04,96.99999999999999,-91.99999999999999,0.78,0.389,139.26543229030204,1.36585,0.1599999999999999,3.119582814861439,24.220138825807336,0.13325206936217585,0.493582518496963,0.7178244082672729,15.299999999999999,14.3,5.5,70.89999999999999
182,102.07,101.59999999999998,-91.99999999999999,0.84,0.544,35.9,1.3845,1.2400000000000002,1.7900000000000003,6.3,0.05601843566577469,0.6626384958941464,0.3843095912312269,15.299999999999999,4.3,7.6,115.8
