,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
331,2-methylbutane,,,72.09,28,-160,0.6,0.214,291.230829,1.3537,2.3,0.13,2.450162633,0,0.01,-0.08,15.40037465,1.351940359,0.8033838,103.6059501,,,,,,,,,,,,,
329,Methyl ethyl ke-ne,Problematic,2,72.11,65,-108.44,0.89,0.46,162,1.407,0.47,1.7,7.58,0,0.55,0.58,16.8,5.7,8,81.01865169,Tetrahydrofuran,No Group,54,,84,,,94,,,,,27 Ã‚Â£/L
330,Tetrahydrofuran,Recommended,3,72.11,79.59,-86.67,0.7997,0.41,90.6,1.3788,0.29,2.76,18.4,0.06,0.48,0.67,16,9,5.1,90.16706265,MEK,No Group,,,,,,,,,,,24 Ã‚Â£/L
328,Pentane,Hazardous,1,72.15,36.06,-129.67,0.6262,0.216,514.04,1.3575,3.39,0,1.8,0,0,-0.08,15.6,0,0,115.2184606,Pentane,Alkane,,,,,,,,,,,71 Ã‚Â£/L
327,N-methylacetamide,,,73.05,205,28,0.9371,7.3103834,42.09322225,1.4301,-1.05,3.231050708,42.62521322,0.47,0.8,1.01,17.53271921,13.52124128,14.35372592,68.06261847,,,,,,,,,,,,,
322,Dimethylformamide,,,73.09,152.8,-60.3,0.9445,0.79,3.87,1.42083,-1.01,3.82,36.71,0,0.69,0.88,17.4,13.7,11.3,77.38951826,,,,,,,,,,,,,
323,butylamine,,,73.09,78,-50,0.74,0.574,92.9,1.401,0.86,1.39,4.424006597,0,0.72,0.31,16.2,4.5,8,99,,,,,,,,,,,,,
324,diethylamine,,,73.09,68.5,-85,0.734,3.216586231,138,1.394,0.73,1.27,4.5,0.172565407,0.56222887,0.264302396,14.94271349,1.016758304,7.25032858,96.34834704,,,,,,,,,,,,,
325,2-methylpropan-1-amine,,,73.09,55.5,-50,0.71,0.319,237,1.3864,0.58,0.92,3.7,0.3,0.7,0.24,14.9,2.3,6.1,103.2,,,,,,,,,,,,,
326,2-methylpropan-2-amine,Hazardous,1,73.09,45,-72.65,0.6958,4.825481821,372,1.3784,0.4,0.672894303,8.239186301,0.69546935,0.643196239,0.25871493,15.00085847,2.183506776,10.9441139,95.29561483,Dimethylformamide,No Group,,100,,69,88,,,,,,32 Ã‚Â£/L
320,1-butanol,#FFD700,,74,117.6,-89,0.81,2.544,6.698,1.3988,0.785,1.66,10.49138542,0.573175679,0.81472628,0.400389806,16,5.7,15.8,91.5,,,,,,,,,,,,,
321,methylacetate,#9ACD32,,74,57.4,-98,0.928,0.364,21.602,1.3614,0.18,1.68,6.7,0,0.42,0.6,15.5,7.2,7.6,79.7,,,,,,,,,,,,,
317,"1,3-dioxolane",,,74.04,78,-95,1.06,-0.275410517,193.9203524,1.3974,-0.37,2.191143913,14.29307461,0,0.45,0.69,18.1,6.6,9.3,69.9,,,,,,,,,,,,,
318,ethylformate,,,74.04,141,-21,0.99,1.02,3.53,1.3865,0.33,1.623293836,17.70975534,1.12,0.45,0.58,15.5124484,7.733659273,20.06130598,75.40540677,,,,,,,,,,,,,
319,propanoic acid,,,74.04,53,-80,0.92,-2.489974322,245,1.361,0.23,1.545200635,7.1,0,0.36,0.61,15.5,8.4,8.4,80.2,,,,,,,,,,,,,
