,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
172,89.05,132.0,-108.0,1.0,0.79,10.099999999999994,1.4018,0.87,3.5759845708200255,25.175434908027896,-0.131462866098988,0.5033664107578051,0.8793797328081643,16.6,12.3,5.5,89.5
173,99.07,202.0,-24.4,1.03,1.6500000000000004,0.34499999999999886,1.469,-0.3800000000000001,3.929414238545277,32.3,-0.07063687496382964,0.6991009412688824,0.9580505255602809,18.0,12.3,7.2,96.5
174,60.07,64.0,-58.0,0.79,1.0542349460401939,167.0,1.40753,-1.19,1.4344302709371854,19.725427514566018,0.6814041249565257,0.6648216670133201,0.5353660417673233,15.3,5.9,11.0,76.0
175,144.12,239.0,16.5,0.91,5.74,0.0037099999999981037,1.426,3.05,1.1534382335899975,6.20573912478881,0.18904909058991434,0.42696288468234705,0.309486457701861,15.1,3.3,8.2,159.0
176,282.26,360.0,13.400000000000006,0.895,25.6,5.459999954382511e-07,1.46,7.73,1.44,10.303617103452224,0.3313854773430007,0.4502026442512,0.30733117166459806,14.3,3.1,5.5,320.0
177,268.28,207.0,6.5,0.848,11.456158762490928,-47.696532829359725,1.458,1.5240697021106793,1.1534382335899975,7.555161763456129,0.20006381481390534,0.5142302282000971,0.2305634910551269,14.3,2.7,8.0,316.0
178,106.08,144.0,-25.0,0.88,3.5777477110948652,66.94108190804113,1.462336932194724,3.12,0.6299999999999999,7.885124526533121,0.2228474191879678,0.29947484246489575,0.4008016261588827,17.8,1.0,3.0999999999999996,121.2
179,130.1,149.0,-71.0,0.88,1.58,3.5,1.4023,2.18,1.3338525013773288,5.0,0.18022108698376846,0.3279997832822239,0.265150451393935,15.8,3.3,6.1,148.0
180,94.04,182.0,41.00000000000001,1.06,3.4369999999999994,45.62853895160232,1.5408,1.46,1.45,9.213573561487532,1.65,0.3,0.72,18.0,5.9,14.9,87.5
181,55.03999999999999,97.0,-92.0,0.78,0.38900000000000023,134.9084978442438,1.36585,0.15999999999999992,3.1731471493549526,24.208444859627004,0.12393443061946706,0.4709490016408028,0.6853875331416848,15.3,14.3,5.5,70.9
182,102.07,101.6,-92.0,0.84,0.5440000000000005,35.89999999999999,1.3845,1.24,1.79,6.300000000000001,0.07605274246235444,0.6692694367650406,0.3620873922439596,15.3,4.3,7.6,115.8
183,59.07,48.0,-83.0,0.717,1.8684225285776046,310.0,1.387,0.1499999999999999,1.63430729024947,15.361998646520787,0.28118115410247907,0.6531105647417168,0.4328237405524933,17.0,4.9,8.6,83.0
184,132.08,146.0,-66.0,0.969,5.345215905220103,3.9200000000000017,1.4124515402197815,0.5599999999999999,2.256727706832954,12.90365435649242,0.7432265002836513,0.6478214674121552,0.6414655955242149,15.6,5.6,9.8,137.1
185,116.08,123.0,-75.9,0.876,2.731132383378559,106.10545977997583,1.3935,2.079072717198378,1.79,4.699999999999999,0.31600872388039786,0.17691808864810674,0.40215589055570466,15.5,5.6,5.7,132.5
186,129.06,238.0,-15.0,1.09,2.997,-1.9503394705170933,1.62683,2.06,3.5750575889266942,18.16778484270837,0.0,0.64,0.92,19.4,7.0,7.6,118.0
187,110.04,280.0,110.0,1.27,8.054016244207148,0.000489000000001738,1.578,0.86,2.09,17.87745718787723,0.6123261960655497,0.5120003608829202,0.9027908153705068,18.0,8.4,21.1,87.5
188,116.08,112.0,-99.0,0.86,0.9057924945468052,34.63280764249795,1.3888,1.51,0.398193758572561,6.4993020789415805,0.15609614473793665,0.32263780202271247,0.265150451393935,15.0,3.7,7.6,134.0
189,284.27,371.0,70.50000000000003,0.86,9.87,7.219999957897016e-07,1.613,8.23,1.3582232493687783,8.149274116793546,0.22251681930172912,0.4401763874439837,0.2920593992178976,16.4,3.3,5.5,326.0
190,104.06,145.0,-30.6,0.91,0.6959999999999997,6.400000000000006,1.544,3.0,0.6755136878239167,3.2749837333706893,0.010832895806710235,0.31744397560432813,0.46706490075377116,18.6,1.0,4.1,115.6
191,100.02,261.0,119.6,1.503,9.348924985018478,0.0014999999999929514,1.471527175191303,-0.8108533608801118,3.669571076398235,41.68293826538445,0.3382284319765885,0.532701475456521,0.9645368278933075,18.6,19.2,16.6,66.8
192,120.02,285.0,27.6,1.2606,10.34,-2.461167997901441,1.481,-0.77,3.9636070994791295,35.683325046526406,0.0,0.39,0.98,18.0,18.0,9.9,95.3
193,116.08,97.8,-33.115569186727896,0.87,3.43235350810195,47.0,1.3855,1.76,1.91,12.658583447260892,0.3931871834083315,0.2316756702809988,0.32489707915472416,15.0,3.7,6.0,134.8
194,163.88,121.0,-22.0,1.62,0.8390000000000004,18.5,1.5053,3.4,0.0,2.5,0.06987608768687256,0.20791326056868398,0.7810392465118565,19.0,6.5,2.9000000000000004,101.1
195,102.0,178.0,-80.0,1.054,11.08,0.7999999999999972,1.452,0.14000000000000012,3.2831780310981475,13.093940545142555,0.31015581658419517,0.5332604961539279,0.8836956128648008,17.8,8.2,12.9,97.4
196,116.09,176.5,-1.2000000000000028,0.9687,9.893668583537323,-91.71772969093108,1.4493,0.18999999999999995,2.7520344719576317,12.498901930043763,0.4807104658092255,0.6931441026711551,0.7279774484947124,16.8,8.2,11.0,120.4
197,266.16,289.0,-80.0,0.98,3.3900000000000006,0.001130000000003406,1.4224,4.0,2.6281495587195716,8.91,0.0,0.8,0.65,16.4,6.3,4.3,345.0
198,129.91,87.0,-86.0,1.46,0.5449999999999999,69.0,1.4773,2.42,0.77,-2.9539942908873655,-0.06995249174502965,0.13424495635431966,0.4989940378461737,18.0,3.1,5.3,90.2
199,135.9,24.0,-111.0,4.74,0.010500000000000398,803.0,1.374,2.53,0.847377154010952,3.4766675257984208,0.08956434373024755,0.05535742380924291,0.32516479950223864,15.3,2.0,8.881784197001252e-16,92.8
200,368.12,224.0,77.5,1.247,2.3086759761400746,98.63171890399762,1.450325381969772,1.5772541067803454,3.8495223830006244,35.009834686635706,0.1557132082255923,0.18081597521860304,0.8218655808235066,19.0,12.3,4.5,613.0
201,182.07,215.0,-57.0,1.07,3.6408496395473824,0.39000000000000057,1.4053,0.8,4.010785793064194,13.2,0.0,0.77,0.72,16.8,11.5,9.2,171.0
202,140.02,197.2,-46.0,1.2,2.905119388299293,0.8499999999999943,1.3967,-0.6499999999999999,4.190252458474308,24.333979372262952,0.0,0.77,0.72,16.8,16.0,10.2,99.9
203,116.08,97.8,-33.115569186727896,0.87,3.43235350810195,47.0,1.3855,1.76,1.91,12.658583447260892,0.3931871834083315,0.2316756702809988,0.32489707915472416,15.0,3.7,6.0,134.8
204,204.14,246.0,-32.0,0.985,5.0270200636658435,-45.309986992425124,1.4262,2.9,1.1534382335899975,3.470926115894967,0.18904909058991434,0.42696288468234705,0.32337737289442825,16.0,4.1,8.2,208.2
205,108.06,202.0,11.800000000000004,1.03,2.093,0.10999999999999943,1.54,1.96,1.59,16.20470166296491,0.678337463456752,0.4967188210300566,0.8168312778106346,18.5,6.5,13.7,105.0
206,162.13,230.0,-68.0,0.954,0.06489999999999974,0.02190000000000225,1.4258,0.30000000000000004,2.3748505325964753,0.6008844982429569,0.3966716981340429,0.614187336114605,0.724673536450094,16.0,7.0,10.6,170.4
207,148.11,190.0,-80.0,0.95,5.5886725547342735,-16.70272457344224,1.405986212890544,0.868265805402816,2.437017447227287,14.914927976280293,0.7714744127177373,0.6599419349130132,0.6577459826092015,15.5,5.7,11.2,156.1
208,118.1,171.0,-75.0,0.9,5.345215905220103,0.8799999999999955,1.4198,0.83,2.182240419331381,11.161059129215843,0.8007237395948144,0.6686236734765125,0.5970311354382463,16.0,5.1,12.3,132.0
209,130.1,142.0,-79.0,0.87,0.8719999999999999,5.599999999999994,1.402,2.13,0.9725255084168409,2.5752102975597833,-0.011190269963336996,0.3438755220632699,0.265150451393935,15.3,3.1,7.0,150.2
210,102.07,89.0,-73.0,0.87,3.460889247383413,6.547665405220243,1.377,1.02,1.75,12.545236797089396,0.4743415927428445,0.572016737388737,0.5569722660747148,14.9,4.5,8.2,117.1
211,136.13,178.0,-74.0,0.8405,5.77647875368949,1.980000000000004,1.474,4.2,1.3582232493687783,8.852144282432636,0.18543971997368175,0.43107827262588766,0.19207740033865028,17.2,1.7999999999999998,4.3,162.9
212,120.08,193.0,-84.0,1.025,3.4800000000000004,0.25,1.4264,-1.0349999999999997,2.541433752606401,13.029450850107867,0.4874596938216722,0.6907606920089224,0.743528443994585,16.2,7.8,12.6,118.2
213,114.1,144.0,-74.0,0.81,0.7699999999999996,5.769999999999996,1.4062,1.72,2.2334762439139793,14.178704372060649,0.1562808669462846,0.4503156338579349,0.44222142766285943,16.0,5.7,4.1,141.3
214,87.07,165.0,-20.0,0.94,0.9199999999999999,-65.76376227833227,1.4358,-0.77,3.21115196396555,33.36246222740354,0.0,0.76,0.88,16.8,11.5,10.2,93.0
215,132.12,171.0,-54.77850498335985,0.879,5.709221390196409,-39.701381889375156,1.4201623174355917,1.15,1.9357979003821602,12.668965238412012,0.35088719832839477,0.6259797752279596,0.5891434364359125,15.3,4.5,9.2,132.0
216,146.09,160.0,-89.0,0.98,4.267965562197288,-70.91581175364557,1.417114685750774,0.76,2.9798511107795886,10.38193281968358,0.07407317254640591,0.5930364684567303,0.6676801599303769,15.6,6.3,7.7,155.1
217,116.08,112.0,-99.0,0.86,0.9057924945468052,34.63280764249795,1.3888,1.51,0.398193758572561,6.4993020789415805,0.15609614473793665,0.32263780202271247,0.265150451393935,15.0,3.7,7.6,134.0
218,76.0,214.4,-26.7,1.04,40.01,0.04399999999999693,1.439,-1.093,3.109884486130081,36.899421622649776,0.4356641539175433,0.5189260057815251,0.8860896865983976,16.8,13.5,23.2,72.5
219,88.0,101.5,11.800000000000004,1.0,1.1899999999999995,38.102999999999994,1.4224,0.41999999999999993,0.5525899410799384,2.25,0.06887008000542155,0.5951586361752733,0.4626716383817352,17.5,1.7999999999999998,9.0,85.7
220,104.0,157.0,-85.0,0.92,2.2799999999999994,0.9080000000000013,1.408,2.0,2.0974435442174997,15.140503328457696,0.7707378534819054,0.4376207160960607,0.5761340964056958,15.3,5.4,13.599999999999998,113.2
221,150.0,213.0,-51.3,1.06,2.3,0.18000000000000682,1.501,2.0,2.975675830204949,5.0,0.06019533528182647,0.290873948607175,0.6822819812162639,18.3,5.7,6.0,143.7
222,102.0,107.0,-92.0,0.892,30.0,28.89999999999999,1.391,1.32,1.92,11.909863181352042,0.3452559151398703,0.3750341041949249,0.5736833240203943,15.7,6.5,9.2,115.2
223,130.0,140.0,-95.0,0.77,0.6899999999999995,6.010000000000005,1.3992,3.21,1.4126709971254912,3.0999999999999996,0.0,0.46,0.27,15.2,3.4,3.2,170.4
224,230.0,274.5,-29.2,0.98,4.0,0.016000000000005343,1.43,2.9,1.8403160319836298,7.38141125628566,0.4186901149983155,0.3762254142607107,0.5949062638310175,16.1,7.7,8.8,238.3
225,174.0,217.7,-21.000000000000004,1.04,1.0499999999999998,0.04399999999999693,1.42,1.26,2.137303097252214,13.895514544894414,0.4207957755372883,0.25066531809752235,0.7217489760421784,16.1,7.7,8.8,169.3
226,116.0,121.5,-98.0,0.87,0.6299999999999999,14.475999999999999,1.392,1.7,1.8,5.1,0.0354843490697648,0.22995341038391837,0.4684191651505932,15.5,5.6,5.0,132.9
227,98.0,103.0,-138.0,0.763,0.5350000000000001,38.0,1.426,3.85,0.0,-0.00605956507145855,-0.07360911819534571,0.3697594494656035,0.19406788856272428,16.5,1.200000000000001,2.0,125.6
228,100.0,113.5,-82.16,0.8,0.4500000000000002,18.076000000000008,1.397,1.331,1.950022827951313,13.1,0.10001176547422053,0.44631664687070505,0.4986230522972708,16.0,7.6,4.699999999999999,124.9
229,102.0,99.1,-73.9,0.89,0.5,35.928,1.381,1.21,1.75,5.699999999999999,0.26962330345583524,0.3817528505434685,0.5864811374880511,15.5,6.1,4.9,115.6
230,146.0,190.0,-41.0,1.13,1.4900000000000002,0.07699999999999818,1.4159,0.3999999999999999,3.024837823526757,11.19124988051409,0.5155323092140655,0.45864684154426577,0.6786258719131502,16.2,4.7,9.8,132.7
