,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
128,carbondisulfide,#FF6347,,76,46.3,-110.8,1.266,0.36,300,1.624,1.84,,,0,0.07,0.61,20.5,0,0.6,60,,,,,,,,,,,,,,75-15-0
129,chlorobenzene,#FFD700,,112,131,-45,1.11,0.753,12,15.241,2.8,,5.62,0,0.07,0.71,19,4.3,2,102.1,,,,,,,,,,,,,,68411-45-0
130,chlorodifluoromethane,,,85.97,-41,-146,3.11,,"7,250",1.256,1.08,,6.11,,,,12.3,6.3,5.7,72.9,,,,,,,,,,,,,,75-45-6
131,cyanol,,,93.06,184,-6,1.02,1.62,0.667,1.5863,0.94,1.53,6.89,,,,19.4,5.1,10.2,91.5,,,,,,,,,,,,,,62-53-3
132,cyclohexanol,#9ACD32,,100,161,23,0.9684,57.5,1,1.465,13.114,1.86,15,0.66,0.84,0.45,17.4,4.1,13.5,106,,,,,,,,,,,,,,108-93-0
133,cyclohexylamine,,,99.1,134.5,-17.7,0.87,,,1.4565,1.4,,,,,,17.4,3.1,6.5,115.2,,,,,,,,,,,,,,157973-60-9
134,dibutylphthalate,,,278.15,340,-35,1.05,,0.0000201,1.49,4.72,,6.4,,,,17.8,8.6,4.1,266,,,,,,,,,,,,,,84-74-2
135,dibutylsebacate,,,314.25,344.5,-10,0.938,,,1.4415,,,,,,,13.9,4.5,4.1,339,,,,,,,,,,,,,,109-43-3
136,dichlorofluoromethane,,,101.94,8.9,-135,3.57,0.313,1360,1.3724,1.55,,5.34,,,,15.8,3.1,5.7,75.4,,,,,,,,,,,,,,75-43-4
137,diethylamine,,,73.09,55.5,-50,0.71,,237,1.3864,0.58,0.92,3.7,0.3,0.7,0.24,14.9,2.3,6.1,103.2,,,,,,,,,,,,,,109-89-7
