,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
338,tetramethylsilane,,,88.07,26.6,-99.06,0.641,,718,1.3587,3.24,,1.921,0,0.02,-0.09,,,,,,,,,,,,,,,,,,75-76-3
340,thiolane,,,88.03,120,-96.2,1,,,1.5048,1.8,,,0,0.44,0.62,,,,,,,,,,,,,,,,,,110-01-0
342,"trans-1,2-dichloroethene",,,95.95,55,-49.8,1.27,0.41,331,1.4454,2,0.00,,0,0,0.44,,,,,,,,,,,,,,,,,,156-60-5
343,tributylamine,,,185.21,216.5,-70,0.78,0.73,0.0934,1.4299,1.52,,,0,0.62,0.16,,,,,,,,,,,,,,,,,,102-82-9
344,"2,4-dimethylpentan-3-one",,,114.1,125.4,-69,,,,,1.86,2.73,,,,,,,,,,,,,,,,,,,,,,565-80-0
345,2-methylpentane,,,86.11,60,-153,0.6555,,211,1.3715,3.2,,,,,,,,,,,,,,,,,,,,,,,73513-42-5
346,"3,3-dimethylbutan-2-one",,,100.09,106.1,-52.5,0.7229,,31.5,1.3952,1.2,,12.8,,,,,,,,,,,,,,,,,,,,,75-97-8
347,2-(2-hydroxyethoxy)ethanol,,,106.06,245,-6.5,1.12,0.3,0.005,1.4472,-1.47,5.49,,,,,,,,,,,,,,,,,,,,,,111-46-6
348,1-ethoxy-2-(2-ethoxyethoxy)ethane,,,162.13,189,-44,0.91,,0.52,1.4115,0.39,,,,,,,,,,,,,,,,,,,,,,,112-36-7
349,2-methylpropylacetate,,,116.08,118,-99,0.87,,17.8,1.3905,1.6,1.87,,,,,,,,,,,,,,,,,,,,,,110-19-0
350,propan-2-ylacetate,,,102.07,89,-73,0.87,,,1.377,1.02,1.75,,,,,,,,,,,,,,,,,,,,,,108-21-4
351,nonane,,,128.16,150.8,-51,0.72,0.6696,4.45,1.4058,5.65,,,,,,,,,,,,,,,,,,,,,,,111-84-2
352,pentan-3-ol,,,88.09,116,-8,0.8,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,584-02-1
353,2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol,,,194.12,327.3,-9.4,1.12,,,1.4577,,,,,,,,,,,,,,,,,,,,,,,,112-60-7
354,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,,,150.09,285,2,1.1,47.8,,1.4531,-1.57,5.58,,,,,,,,,,,,,,,,,,,,,,112-27-6
355,"1,2-bis(2-methoxyethoxy)ethane",,,178.12,216,-45,0.99,,,,-0.48,,,,,,,,,,,,,,,,,,,,,,,112-49-2
356,2-methylcyclohexan-1-one,,,112.09,165.1,-14,0.93,,,1.447,,,,,,,,,,,,,,,,,,,,,,,,583-60-8
357,ethyl3-oxobutanoate,,,130.06,180.8,-45,1.025,,,1.4195,0.27,,15.9,,,,,,,,,,,,,,,,,,,,,141-97-9
358,2-methylpyridine,,,93.06,128.5,-70,0.95,,11.2,1.4957,1.1,,,,,,,,,,,,,,,,,,,,,,,109-06-8
359,"2,2,2-trifluoroaceticacid",,,113.99,72,-15,1.5,,,1.285,-2.1,,39,,,,,,,,,,,,,,,,,,,,,76-05-1
360,"(2,2-dimethyl-1,3-dioxolan-4-yl)methanol",,,132.08,188.5,-26.4,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,36543-79-0
361,(4r)-1-methyl-4-prop-1-en-2-ylcyclohexene,,,136.13,178,-74,0.8405,,1.98,1.474,4.2,,,,,,,,,,,,,,,,,,,,,,,5989-27-5
362,"(z)-1,2-dichloroethene",,,95.95,55,-80,1.27,,200,1.4435,2,1.90,,,,,,,,,,,,,,,,,,,,,,156-59-2
363,hexan-2-one,,,100.09,127,-57,0.81,0.62,11.6,1.4024,1.38,2.68,,,,,,,,,,,,,,,,,,,,,,591-78-6
364,propylformate,,,88.05,81,-92.9,0.9,,,1.3765,0.83,1.90,7.9,,,,,,,,,,,,,,,,,,,,,110-74-7
365,dimethylhexanedioate,,,174.09,109.5,8,1.063,,,1.4285,1.03,,,,,,,,,,,,,,,,,,,,,,,627-93-0
366,3-methylbutylacetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,,,,,,,,,,,,,,,,,,,,,,,123-92-2
367,2-acetyloxyethylacetate,,,146.06,190.5,-31,1.104,,0.0774,1.415,0.24,,,,,,,,,,,,,,,,,,,,,,,111-55-7
368,trimethoxymethane,,,106.06,100.6,,0.9676,,,1.3773,,,,,,,,,,,,,,,,,,,,,,,,149-73-5
369,"pentane-2,4-dione",,,100.05,140,-23,0.975,,,1.4494,0.4,,,,,,,,,,,,,,,,,,,,,,,123-54-6
370,ethylcyclohexane,,,112.13,,,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,1678-91-7
371,methylpropanoate,,,88.05,80,-88,0.915,,,1.3765,0.82,1.70,5.4,,,,,,,,,,,,,,,,,,,,,554-12-1
372,methylbutanoate,,,102.07,102.5,-95,0.8945,,,1.388,1.29,1.72,5.6,,,,,,,,,,,,,,,,,,,,,623-42-7
373,nonan-5-one,,,142.14,188.4,-3.8,0.8217,,0.552,1.4195,2.88,,,,,,,,,,,,,,,,,,,,,,,502-56-7
374,pyrimidine,,,80.04,,22,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,25247-63-6
375,cyclopentane,,,70.08,49,-94,0.75,,317.8,1.4065,3,0.00,,,,,,,,,,,,,,,,,,,,,,287-92-3
376,nonan-1-ol,,,144.15,214,-5,0.827,,,1.433,3.77,1.70,,,,,,,,,,,,,,,,,,,,,,143-08-8
377,heptan-1-ol,,,116.12,175,-34,0.8225,,0.2163,1.425,2.62,,,,,,,,,,,,,,,,,,,,,,,53535-33-4
378,hexanedinitrile,,,108.07,295,1,0.97,2.6,0.00068,1.438,-0.32,,,,,,,,,,,,,,,,,,,,,,,68411-90-5
379,pentan-1-amine,,,87.1,,,0.7545,,,1.421,,,4.6,,,,,,,,,,,,,,,,,,,,,110-58-7
380,thiophene,,,84,84,-38,1.06,,,1.52684,1.81,,,,,,,,,,,,,,,,,,,,,,,25233-34-5
381,1h-pyrrole,,,67.04,130.5,-24,0.96,,,1.5085,0.75,,,,,,,,,,,,,,,,,,,,,,,109-97-7
382,n-propan-2-ylpropan-2-amine,,,101.12,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,108-09-8
383,butylbenzene,,,134.11,183.3,-87.9,0.8601,,,1.4898,4.38,,,,,,,,,,,,,,,,,,,,,,,104-51-8
384,n-ethylaniline,,,121.09,205,-63,0.96,,,1.5559,2.16,,5.9,,,,,,,,,,,,,,,,,,,,,103-69-5
385,phenylmethanamine,,,107.07,185,10,0.98,,0.662,1.5401,1.09,1.38,4.6,,,,,,,,,,,,,,,,,,,,,100-46-9
386,isopropylbenzene,,,120.09,152,-96,0.86,,4.5,1.4915,3.66,,,,,,,,,,,,,,,,,,,,,,,98-82-8
387,methylcyclopentane,,,84.09,71.8,-139.8,0.7486,,138,1.4097,3.37,,,,,,,,,,,,,,,,,,,,,,,5310-57-6
388,methylbenzoate,,,136.05,199,-12,1.0855,,0.38,1.5165,2.12,2.53,6.6,,,,,,,,,,,,,,,,,,,,,93-58-3
389,2-methylpropanoicacid,,,88.05,153.5,-47,0.946,,1.81,1.3935,0.88,1.09,2.7,,,,,,,,,,,,,,,,,,,,,79-31-2
390,"1,1,2-trichloroethane",,,131.93,114,-36,1.44,1.69,23,1.4711,2.35,,,,,,,,,,,,,,,,,,,,,,,79-00-5
391,2-methylpropan-1-amine,,,73.09,68.5,-85,0.734,,138,1.394,0.73,1.27,4.5,,,,,,,,,,,,,,,,,,,,,78-81-9
392,"1,1,1,2,2-pentachloroethane",,,199.85,162,-29,1.68,,3.5,1.5025,3.67,0.92,,,,,,,,,,,,,,,,,,,,,,76-01-7
393,2-methylpropan-2-amine,,,73.09,45,-72.65,0.6958,,372,1.3784,0.4,,,,,,,,,,,,,,,,,,,,,,,75-64-9
394,"propane-1,2-diol",,,76.05,188.2,-59,1.04,0.581,,1.4324,-0.92,3.63,,,,,,,,,,,,,,,,,,,,,,57-55-6
395,1-acetyloxypropan-2-ylacetate,,,160.07,190,-31,1.058,,,1.414,0.8,,,,,,,,,,,,,,,,,,,,,,,623-84-7
396,(4-methylcyclohexyl)methanol,,,128.21,75,,0.9074,19,2.55,,,,,,,,,,,,,,,,,,,,,,,,,34885-03-5
397,trimethyl-trimethylsilyloxysilane,,,162.09,99,-66,0.7638,,,1.3774,4.2,,,,,,,,,,,,,,,,,,,,,,,107-46-0
398,dimethyl-bis(trimethylsilyloxy)silane,,,236.11,,,0.94,,,1.399,,,2.3,,,,,,,,,,,,,,,,,,,,,107-51-7
399,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",,,296.08,175,17.5,0.96,,1.05,1.3968,6.74,,,,,,,,,,,,,,,,,,,,,,,556-67-2
400,"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",,,370.09,210,-38,0.9593,,0.3,1.3982,8.06,,,,,,,,,,,,,,,,,,,,,,,541-02-6
401,2-(2-hexoxyethoxy)ethanol,,,190.16,259.1,-33.3,0.935,8.6,,,1.7,,,,,,,,,,,,,,,,,,,,,,,112-59-4
402,2-(2-ethoxyethoxy)ethanol,,,134.09,199,-76,0.99,3.85,,1.4273,-0.15,,,,,,,,,,,,,,,,,,,,,,,111-90-0
403,2-(2-bu-xyethoxy)ethylacetate,,,204.14,246,-32,0.985,,,1.4262,2.9,,,,,,,,,,,,,,,,,,,,,,,124-17-4
404,2-propoxyethanol,,,104.08,150.5,-90,0.91,,2.9,1.412,0.08,,,,,,,,,,,,,,,,,,,,,,,2807-30-9
405,1-methoxypropan-2-ylacetate,,,132.08,146,-66,0.969,,3.92,,0.56,,,,,,,,,,,,,,,,,,,,,,,108-65-6
406,1-propoxypropan-2-ol,,,118.1,150.2,,0.8886,,2.2125,1.413,,,,,,,,,,,,,,,,,,,,,,,,1569-01-3
407,ethyl3-ethoxypropanoate,,,146.09,168.5,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,763-69-9
408,"(3-hydroxy-2,2,4-trimethylpentyl)2-methylpropanoate",,,216.17,257.5,-50,0.95,,,,3.47,,,,,,,,,,,,,,,,,,,,,,,77-68-9
409,2-[2-(2-bu-xyethoxy)ethoxy]ethanol,,,206.15,278,-35,0.98,,0.0025,1.4389,0.02,,,,,,,,,,,,,,,,,,,,,,,143-22-6
410,"1,3-diacetyloxypropan-2-ylacetate",,,218.08,258,3,1.1565,,248,1.428,0.21,,,,,,,,,,,,,,,,,,,,,,,102-76-1
