,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
57,131.93,74.0,-30.0,1.34,0.86,124.0,1.4711,2.49,1.78,2.9058555855168233,0.0,0.0,0.49,17.0,4.3,2.0,100.4
58,97.97,57.0,-98.0,1.18,0.464,227.0,1.4167,1.8,2.06,10.7,0.1,0.1,0.48,16.6,8.2,0.4,84.8
59,95.95,32.0,-122.0,1.21,0.3302,600.0,1.4249,2.41,1.151467511605417,5.65339092867868,0.07132401761275117,0.09097533797375101,0.5856863989017855,17.0,6.8,4.5,79.0
60,132.09,207.6,-35.8,0.9702,2.012,0.368,1.53919,3.78,1.2455993218828698,8.240534882913947,0.199603696805074,0.4050375896982302,0.4652224552124639,19.6,2.0,2.9,136.0
61,145.97,181.5,-17.0,1.3,1.324,1.36,1.4792293448812934,3.38,2.886978397471313,22.249679251852807,0.0,0.03,0.8,19.2,6.3,3.3,112.8
62,74.04,78.0,-95.0,1.06,-0.2754105171018594,193.92035237221157,1.3974,-0.37,2.191143913102155,14.293074606695782,0.0,0.45,0.69,18.1,6.6,9.3,69.9
63,134.11,183.7,-42.83,0.862,3.6,24.95215318072697,1.4967,4.45,0.0,12.719258793188713,0.2310115262778742,0.42856487636090157,0.49411341476732595,18.0,0.0,0.6,156.9
64,74.0,117.6,-89.0,0.81,2.544,6.698,1.3988,0.785,1.66,10.49138541724826,0.5731756791924449,0.8147262800800534,0.40038980599838225,16.0,5.7,15.8,91.5
65,92.04,78.0,-123.0,0.89,0.45,198.87589328373042,1.40223,2.82,1.1879815887428,9.6,0.0,0.0,0.39,16.4,5.5,2.0,104.9
66,78.02,46.6,-122.8,0.8899,2.1825732587291053,344.4,1.3879,2.04,2.05,12.04653537552605,0.4246449359797743,0.1380274876359247,0.5496039326358336,16.0,7.8,2.0,88.1
67,158.17,230.0,7.0,0.8285,10.9,851.0,1.437,4.23,1.1581364620287147,9.183813479280252,0.5743624211947737,0.469555337983001,0.26992187088272174,17.6,2.7,10.0,191.8
68,90.07,120.0,-96.0,0.96,1.81,12.5,1.4034,0.12899543868841015,2.3274882493346865,9.673739387567576,0.680477073386636,0.5789131148670598,0.6856542109733867,15.6,6.3,11.6,98.2
69,142.08,245.0,-22.0,1.0202,7.411773282189648,0.067,1.615,3.87,0.5,9.419691885830774,0.21715128947583423,0.3910297498711544,0.4840266132727153,20.6,0.8,4.7,138.8
70,130.14,194.5,-15.5,0.825,7.288,-37.07758768675538,1.4295,3.0,1.1491560272386303,7.151818169780404,0.5558100128151833,0.4421907941117748,0.1820732773318763,17.0,3.3,11.9,157.7
71,152.08,241.2,11.4,1.0622,22.7,218.0,1.5232,1.5,2.112967845796337,13.888950024657115,0.740672645751129,0.25716388389249156,0.6091560684496595,17.4,5.3,11.5,143.2
72,60.06,97.0,-127.0,0.81,2.256,49.41872570268211,1.3855,0.25,1.68,15.839342506174988,0.6556200396928771,0.7567994580975099,0.49527146614203926,16.0,6.8,17.4,75.2
73,200.21,274.0,31.0,0.8,7.857137227310038,0.000436,1.4216146815604482,8.52,1.2620855318118311,8.06370505172764,0.5971454262103577,0.5315231411645674,0.23530682556952479,14.3,3.1,9.0,242.0
74,204.14,246.0,-32.0,0.985,5.220774605090444,-47.964092933169496,1.4262,2.9,1.1491560272386303,5.103093775760844,0.5086019422568244,0.42258243248290017,0.3302366275486287,16.0,4.1,8.2,208.2
